negatives
"frozenset({'Q9C009', 'Alpha6Beta4Integrin', 'Q13416'})"
"frozenset({'P49720', 'Alpha6Beta4Integrin', 'Q9Y5K5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01658', 'Q96ES7'})"
"frozenset({'Alpha6Beta4Integrin', 'P62829', 'Q9UN19'})"
"frozenset({'P40937', 'Alpha6Beta4Integrin', 'Q7L2J0'})"
"frozenset({'Q92993', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'P0C7H8', 'Alpha6Beta4Integrin', 'P82987'})"
"frozenset({'O60503', 'Alpha6Beta4Integrin', 'O95467'})"
"frozenset({'Alpha6Beta4Integrin', 'O43482', 'P05412'})"
"frozenset({'Q9GZQ8', 'Alpha6Beta4Integrin', 'Q8IWT3'})"
"frozenset({'Q9BQE3', 'Alpha6Beta4Integrin', 'O43237'})"
"frozenset({'Q16478', 'Alpha6Beta4Integrin', 'Q6UWE0'})"
"frozenset({'Q8N122', 'Alpha6Beta4Integrin', 'P09936'})"
"frozenset({'Q9Y223', 'Alpha6Beta4Integrin', 'Q9H2M9'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'P15382'})"
"frozenset({'Q08AD1', 'Alpha6Beta4Integrin', 'Q9H4Z3'})"
"frozenset({'Q02543', 'Alpha6Beta4Integrin', 'Q9BTC0'})"
"frozenset({'P06493', 'Alpha6Beta4Integrin', 'P23443'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'P12235'})"
"frozenset({'Q00839', 'Q92552', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07912', 'Alpha6Beta4Integrin', 'P51813'})"
"frozenset({'Q96EB6', 'Q13465', 'Alpha6Beta4Integrin'})"
"frozenset({'P18621', 'Alpha6Beta4Integrin', 'P30050'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q16531'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'P61020'})"
"frozenset({'P24522', 'Alpha6Beta4Integrin', 'Q504T8'})"
"frozenset({'Alpha6Beta4Integrin', 'P54764', 'P19087'})"
"frozenset({'O43167', 'Alpha6Beta4Integrin', 'Q3KQV3'})"
"frozenset({'P08240', 'Alpha6Beta4Integrin', 'Q86UK5'})"
"frozenset({'P19484', 'Alpha6Beta4Integrin', 'P09914'})"
"frozenset({'P21281', 'O60232', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYM8', 'Q96PN8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z7L1', 'P08238'})"
"frozenset({'Alpha6Beta4Integrin', 'P21860', 'O15431'})"
"frozenset({'P57086', 'Alpha6Beta4Integrin', 'Q13137'})"
"frozenset({'Q5JSZ5', 'Alpha6Beta4Integrin', 'Q13347'})"
"frozenset({'P82932', 'Alpha6Beta4Integrin', 'Q92665'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HCK5', 'Q9UBX3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q93074', 'Q53G59'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H492', 'Q96A56'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H040', 'Q8TAT6'})"
"frozenset({'P41567', 'Alpha6Beta4Integrin', 'O75822'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y490', 'P49286'})"
"frozenset({'Q16637', 'P62308', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14974', 'Q9Y2L1'})"
"frozenset({'P62913', 'Alpha6Beta4Integrin', 'P60866'})"
"frozenset({'Alpha6Beta4Integrin', 'P46776', 'Q504Q3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IWB7', 'P07954'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4B7', 'Q04837'})"
"frozenset({'O60841', 'Alpha6Beta4Integrin', 'P36915'})"
"frozenset({'Alpha6Beta4Integrin', 'O60880', 'P06239'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13617', 'P62995'})"
"frozenset({'P49915', 'Alpha6Beta4Integrin', 'Q13057'})"
"frozenset({'P08603', 'Alpha6Beta4Integrin', 'P00751'})"
"frozenset({'P78318', 'Alpha6Beta4Integrin', 'P11217'})"
"frozenset({'Alpha6Beta4Integrin', 'P23142', 'Q8N8Y5'})"
"frozenset({'Alpha6Beta4Integrin', 'P60410', 'A0PJY2'})"
"frozenset({'Alpha6Beta4Integrin', 'O60341', 'Q6NZI2'})"
"frozenset({'P62987', 'Alpha6Beta4Integrin', 'P61513'})"
"frozenset({'P02786', 'Alpha6Beta4Integrin', 'Q8NHG7'})"
"frozenset({'P05388', 'O15357', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13077', 'O95759'})"
"frozenset({'Q9C0F1', 'Alpha6Beta4Integrin', 'Q8N715'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N5Z5', 'P04637'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04917', 'Q6PJP8'})"
"frozenset({'Q9BYQ3', 'Alpha6Beta4Integrin', 'P49639'})"
"frozenset({'Alpha6Beta4Integrin', 'P05067', 'Q6P9H5'})"
"frozenset({'Q9UBV7', 'Alpha6Beta4Integrin', 'P12004'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'P41227'})"
"frozenset({'P63241', 'Alpha6Beta4Integrin', 'P00441'})"
"frozenset({'Q659A1', 'Alpha6Beta4Integrin', 'P01876'})"
"frozenset({'O43683', 'Alpha6Beta4Integrin', 'Q16644'})"
"frozenset({'Q13164', 'Alpha6Beta4Integrin', 'Q9H6Z9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBU9', 'P30566'})"
"frozenset({'P04198', 'Alpha6Beta4Integrin', 'Q92993'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'Q13347'})"
"frozenset({'O95994', 'Alpha6Beta4Integrin', 'Q01995'})"
"frozenset({'Q9NP86', 'Alpha6Beta4Integrin', 'Q0VD86'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6IPM2', 'Q6PF05'})"
"frozenset({'Q9NX47', 'Alpha6Beta4Integrin', 'O00429'})"
"frozenset({'Q9UPN4', 'Alpha6Beta4Integrin', 'Q8NA72'})"
"frozenset({'Alpha6Beta4Integrin', 'P46531', 'P48745'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99614', 'O00257'})"
"frozenset({'O95661', 'Alpha6Beta4Integrin', 'P01116'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P219', 'Q9NRM7'})"
"frozenset({'Q86X19', 'Alpha6Beta4Integrin', 'Q96AC1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9GZT3', 'P09234'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13617', 'P05455'})"
"frozenset({'Q9UM54', 'Alpha6Beta4Integrin', 'Q9BZE4'})"
"frozenset({'Q13797', 'Alpha6Beta4Integrin', 'P78509'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNM6', 'P20618'})"
"frozenset({'Q15154', 'Alpha6Beta4Integrin', 'Q99871'})"
"frozenset({'P33316', 'Alpha6Beta4Integrin', 'P60953'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NTI5', 'P04629'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y230', 'Q16526'})"
"frozenset({'Q86WJ1', 'P45973', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O43529', 'Q9H300'})"
"frozenset({'Q9H6T3', 'Alpha6Beta4Integrin', 'Q8TCJ0'})"
"frozenset({'P40259', 'Alpha6Beta4Integrin', 'P29350'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BZW8', 'Q96LW7'})"
"frozenset({'Q96HA8', 'Alpha6Beta4Integrin', 'Q9BT49'})"
"frozenset({'Alpha6Beta4Integrin', 'P49327', 'O95433'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8WVC0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15262', 'P06276'})"
"frozenset({'O60613', 'Q13145', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYR6', 'Q92608'})"
"frozenset({'Q96I24', 'Alpha6Beta4Integrin', 'O43638'})"
"frozenset({'P54727', 'Q14203', 'Alpha6Beta4Integrin'})"
"frozenset({'P07332', 'Alpha6Beta4Integrin', 'Q08752'})"
"frozenset({'Q08AD1', 'O60573', 'Alpha6Beta4Integrin'})"
"frozenset({'P09382', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Alpha6Beta4Integrin', 'O95983', 'Q9UPN9'})"
"frozenset({'P0DMV9', 'Alpha6Beta4Integrin', 'P12544'})"
"frozenset({'Alpha6Beta4Integrin', 'P30566', 'O95747'})"
"frozenset({'O75679', 'Alpha6Beta4Integrin', 'Q9NQP4'})"
"frozenset({'Alpha6Beta4Integrin', 'P08134', 'Q9BZ29'})"
"frozenset({'Q13242', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q6P1N9', 'Alpha6Beta4Integrin', 'P54577'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BW27', 'Q8TEM1'})"
"frozenset({'Alpha6Beta4Integrin', 'O95685', 'P46020'})"
"frozenset({'Alpha6Beta4Integrin', 'P62136', 'P61962'})"
"frozenset({'P36941', 'Alpha6Beta4Integrin', 'Q96DN5'})"
"frozenset({'Q9BZ67', 'Q96HH9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6IQ23', 'Alpha6Beta4Integrin', 'P30305'})"
"frozenset({'Alpha6Beta4Integrin', 'P31751', 'Q9H9Y6'})"
"frozenset({'Alpha6Beta4Integrin', 'O14639', 'Q13315'})"
"frozenset({'Q99590', 'Alpha6Beta4Integrin', 'Q6W2J9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WUI4', 'Q5QNW6'})"
"frozenset({'P53675', 'Alpha6Beta4Integrin', 'P50213'})"
"frozenset({'Alpha6Beta4Integrin', 'P02792', 'Q8IWF7'})"
"frozenset({'P08581', 'Alpha6Beta4Integrin', 'P51813'})"
"frozenset({'Alpha6Beta4Integrin', 'O43889', 'Q14012'})"
"frozenset({'Alpha6Beta4Integrin', 'P19438', 'Q92597'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BV73', 'P39019'})"
"frozenset({'Alpha6Beta4Integrin', 'P62244', 'P46778'})"
"frozenset({'Alpha6Beta4Integrin', 'O76011', 'O95678'})"
"frozenset({'Q13285', 'Alpha6Beta4Integrin', 'P48552'})"
"frozenset({'P09497', 'Alpha6Beta4Integrin', 'P25098'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'Q9NZS9'})"
"frozenset({'Q86U06', 'Alpha6Beta4Integrin', 'P14373'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N766', 'O75955'})"
"frozenset({'P41218', 'Alpha6Beta4Integrin', 'Q5SY16'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q9BR61'})"
"frozenset({'Alpha6Beta4Integrin', 'P0C0S8', 'Q969S8'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q8N349'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q9H492'})"
"frozenset({'P02686', 'Alpha6Beta4Integrin', 'Q14680'})"
"frozenset({'Q6IPU0', 'Alpha6Beta4Integrin', 'P61764'})"
"frozenset({'Q92560', 'Alpha6Beta4Integrin', 'P61088'})"
"frozenset({'O75925', 'Alpha6Beta4Integrin', 'P05412'})"
"frozenset({'Alpha6Beta4Integrin', 'P05154', 'Q09472'})"
"frozenset({'Q9H3G5', 'Alpha6Beta4Integrin', 'Q96QE3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IVT5', 'O14579'})"
"frozenset({'P0DMV8', 'Alpha6Beta4Integrin', 'Q15691'})"
"frozenset({'P29972', 'Alpha6Beta4Integrin', 'Q6PI77'})"
"frozenset({'Alpha6Beta4Integrin', 'P22607', 'Q9Y6I3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96T88', 'Q13469'})"
"frozenset({'P17568', 'P03886', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96GG9', 'Alpha6Beta4Integrin', 'Q9Y6I7'})"
"frozenset({'P29353', 'Alpha6Beta4Integrin', 'Q16620'})"
"frozenset({'P20810', 'Alpha6Beta4Integrin', 'P07384'})"
"frozenset({'Alpha6Beta4Integrin', 'O76003', 'Q8IYT8'})"
"frozenset({'Q71U36', 'Q96P15', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96DT6', 'Q13200', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92797', 'Alpha6Beta4Integrin', 'Q6P597'})"
"frozenset({'Alpha6Beta4Integrin', 'P48551', 'P40225'})"
"frozenset({'P51686', 'Alpha6Beta4Integrin', 'Q9Y4X3'})"
"frozenset({'Q8NE71', 'Alpha6Beta4Integrin', 'Q8WX92'})"
"frozenset({'Alpha6Beta4Integrin', 'P98179', 'P02751'})"
"frozenset({'Q9ULX3', 'P40337', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L5N1', 'Q9H496'})"
"frozenset({'Q13424', 'Alpha6Beta4Integrin', 'Q99437'})"
"frozenset({'P08246', 'Alpha6Beta4Integrin', 'P10145'})"
"frozenset({'Q9Y4Z0', 'Alpha6Beta4Integrin', 'Q7L2J0'})"
"frozenset({'P14923', 'Alpha6Beta4Integrin', 'Q9NSA3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13618', 'O43290'})"
"frozenset({'O14757', 'Alpha6Beta4Integrin', 'O00716'})"
"frozenset({'Q9NZJ7', 'Alpha6Beta4Integrin', 'P24539'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NPJ1', 'O96006'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y3B4', 'Q15029'})"
"frozenset({'Q9BQB6', 'Alpha6Beta4Integrin', 'P02787'})"
"frozenset({'Q96A00', 'Alpha6Beta4Integrin', 'F7VJQ1'})"
"frozenset({'Q08380', 'Alpha6Beta4Integrin', 'Q9NRD1'})"
"frozenset({'Alpha6Beta4Integrin', 'P55036', 'Q9Y3C5'})"
"frozenset({'Q9NQL2', 'Alpha6Beta4Integrin', 'Q8NFG4'})"
"frozenset({'O75147', 'Alpha6Beta4Integrin', 'Q9NXF1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8N0Y3', 'P22694'})"
"frozenset({'P08246', 'Alpha6Beta4Integrin', 'Q99684'})"
"frozenset({'P49019', 'P01303', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q06203', 'P04818'})"
"frozenset({'Alpha6Beta4Integrin', 'P26368', 'P06702'})"
"frozenset({'Alpha6Beta4Integrin', 'P19634', 'Q16539'})"
"frozenset({'Q05513', 'Alpha6Beta4Integrin', 'P14314'})"
"frozenset({'B1AH88', 'Alpha6Beta4Integrin', 'Q99426'})"
"frozenset({'O95169', 'Alpha6Beta4Integrin', 'O43181'})"
"frozenset({'P04406', 'Alpha6Beta4Integrin', 'Q99880'})"
"frozenset({'Q5VY43', 'Alpha6Beta4Integrin', 'P43403'})"
"frozenset({'Alpha6Beta4Integrin', 'P46531', 'Q01196'})"
"frozenset({'Q9BRU9', 'Alpha6Beta4Integrin', 'P14373'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86TM6', 'P25786'})"
"frozenset({'P63244', 'P24941', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P10071', 'P49336'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TEX9', 'Q9Y230'})"
"frozenset({'P62330', 'Alpha6Beta4Integrin', 'Q01813'})"
"frozenset({'P54252', 'Q9UMX0', 'Alpha6Beta4Integrin'})"
"frozenset({'P05556', 'Alpha6Beta4Integrin', 'Q9UBV2'})"
"frozenset({'O15360', 'Alpha6Beta4Integrin', 'P06493'})"
"frozenset({'P25791', 'Alpha6Beta4Integrin', 'P19012'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z5B4', 'Q9Y6C9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BX66', 'P18206'})"
"frozenset({'Q2TBE0', 'O75558', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9C002', 'Q7L0Y3'})"
"frozenset({'Alpha6Beta4Integrin', 'P15735', 'P22612'})"
"frozenset({'Q9Y6Y0', 'P60709', 'Alpha6Beta4Integrin'})"
"frozenset({'O95163', 'O43151', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6PD62', 'Alpha6Beta4Integrin', 'Q8WVC0'})"
"frozenset({'O76021', 'P25490', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13263', 'Alpha6Beta4Integrin', 'P36406'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6PII5', 'P19784'})"
"frozenset({'Q6IQ23', 'Alpha6Beta4Integrin', 'Q15424'})"
"frozenset({'Q9HB58', 'P38936', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z699', 'Alpha6Beta4Integrin', 'Q8N715'})"
"frozenset({'Alpha6Beta4Integrin', 'P04843', 'Q53GQ0'})"
"frozenset({'Q969L4', 'Alpha6Beta4Integrin', 'P62310'})"
"frozenset({'P12429', 'Alpha6Beta4Integrin', 'Q12846'})"
"frozenset({'P15559', 'Alpha6Beta4Integrin', 'P07902'})"
"frozenset({'P09496', 'Alpha6Beta4Integrin', 'Q96QS3'})"
"frozenset({'Alpha6Beta4Integrin', 'O43181', 'Q9P015'})"
"frozenset({'O43809', 'Alpha6Beta4Integrin', 'Q99459'})"
"frozenset({'Q03468', 'Alpha6Beta4Integrin', 'P23025'})"
"frozenset({'Q3KNV8', 'Alpha6Beta4Integrin', 'Q86Y13'})"
"frozenset({'P09668', 'P55957', 'Alpha6Beta4Integrin'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'Q9BR01'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00013', 'Q96CW1'})"
"frozenset({'Alpha6Beta4Integrin', 'P22314', 'Q99717'})"
"frozenset({'P12830', 'Q05655', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P29317', 'P04085'})"
"frozenset({'P31943', 'Alpha6Beta4Integrin', 'O95872'})"
"frozenset({'O75792', 'Alpha6Beta4Integrin', 'Q8N9M1'})"
"frozenset({'P15336', 'Alpha6Beta4Integrin', 'Q9UJS0'})"
"frozenset({'P51665', 'Alpha6Beta4Integrin', 'P14672'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14164', 'Q9Y3A5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16659', 'Q07866'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UHW5', 'Q9HCN4'})"
"frozenset({'Alpha6Beta4Integrin', 'P01178', 'P16333'})"
"frozenset({'Alpha6Beta4Integrin', 'P12931', 'Q92847'})"
"frozenset({'Alpha6Beta4Integrin', 'P05412', 'O00231'})"
"frozenset({'Q9H967', 'Alpha6Beta4Integrin', 'O00189'})"
"frozenset({'Alpha6Beta4Integrin', 'O15520', 'P08069'})"
"frozenset({'Alpha6Beta4Integrin', 'P19525', 'P05198'})"
"frozenset({'Alpha6Beta4Integrin', 'P62070', 'P59768'})"
"frozenset({'P04075', 'P15259', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15596', 'Alpha6Beta4Integrin', 'Q9NNW7'})"
"frozenset({'Alpha6Beta4Integrin', 'P60709', 'Q16082'})"
"frozenset({'Q9BYX4', 'Alpha6Beta4Integrin', 'Q96EQ8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9P2Y5', 'Q9Y4P1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BUL8', 'Q5VSL9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6VMQ6', 'P08047'})"
"frozenset({'Q9P2W3', 'Alpha6Beta4Integrin', 'Q9P2A4'})"
"frozenset({'Alpha6Beta4Integrin', 'P09471', 'O60262'})"
"frozenset({'Q96T76', 'Alpha6Beta4Integrin', 'O94906'})"
"frozenset({'P62993', 'Alpha6Beta4Integrin', 'P78329'})"
"frozenset({'P27348', 'Alpha6Beta4Integrin', 'Q15154'})"
"frozenset({'Q00839', 'Q9BX10', 'Alpha6Beta4Integrin'})"
"frozenset({'P21980', 'Alpha6Beta4Integrin', 'Q13885'})"
"frozenset({'P35609', 'Alpha6Beta4Integrin', 'O95295'})"
"frozenset({'P57078', 'Alpha6Beta4Integrin', 'Q02952'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYE7', 'O75177'})"
"frozenset({'Alpha6Beta4Integrin', 'P55036', 'Q14657'})"
"frozenset({'Q6P587', 'Alpha6Beta4Integrin', 'Q9NR45'})"
"frozenset({'P27708', 'Alpha6Beta4Integrin', 'P23396'})"
"frozenset({'Q9UJV3', 'Alpha6Beta4Integrin', 'Q8WV60'})"
"frozenset({'O43156', 'Alpha6Beta4Integrin', 'Q9NRD1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14164', 'P35268'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00341', 'P49711'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96JP0', 'Q15717'})"
"frozenset({'P0C7W6', 'Q96IX9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TAD8', 'Q8WUD4'})"
"frozenset({'Alpha6Beta4Integrin', 'O94888', 'Q9UKV5'})"
"frozenset({'P84996', 'Alpha6Beta4Integrin', 'Q02818'})"
"frozenset({'Q02252', 'Alpha6Beta4Integrin', 'O60684'})"
"frozenset({'O00238', 'Alpha6Beta4Integrin', 'P12644'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UPT5', 'Q92796'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H8Y8', 'P61457'})"
"frozenset({'P52739', 'Alpha6Beta4Integrin', 'P58546'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UNE7', 'O75368'})"
"frozenset({'Alpha6Beta4Integrin', 'P28482', 'P78536'})"
"frozenset({'Q969U7', 'Alpha6Beta4Integrin', 'Q8N357'})"
"frozenset({'Q8NCD3', 'Alpha6Beta4Integrin', 'Q9HCE1'})"
"frozenset({'Q5JUX0', 'Alpha6Beta4Integrin', 'Q9BUA3'})"
"frozenset({'Q14203', 'Q9BYV8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P09651', 'O00425'})"
"frozenset({'Q4L235', 'Alpha6Beta4Integrin', 'P81274'})"
"frozenset({'P34947', 'Q7L5Y9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H4B6', 'Alpha6Beta4Integrin', 'Q9UPQ9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q00610', 'P49368'})"
"frozenset({'P27105', 'P22695', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15120', 'Q9BXW7'})"
"frozenset({'Q8NGE9', 'Alpha6Beta4Integrin', 'O60262'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16514', 'P23511'})"
"frozenset({'P83731', 'Alpha6Beta4Integrin', 'P62857'})"
"frozenset({'P49736', 'Alpha6Beta4Integrin', 'P48444'})"
"frozenset({'Q7Z6Z7', 'Alpha6Beta4Integrin', 'Q01105'})"
"frozenset({'Q13561', 'Alpha6Beta4Integrin', 'P42858'})"
"frozenset({'Q15560', 'Alpha6Beta4Integrin', 'Q86TI0'})"
"frozenset({'Alpha6Beta4Integrin', 'P15514', 'P30281'})"
"frozenset({'Q07021', 'P42680', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O14965', 'O75340'})"
"frozenset({'Alpha6Beta4Integrin', 'P36873', 'O14503'})"
"frozenset({'P0DMV8', 'P20226', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P27694', 'O95816'})"
"frozenset({'Q9Y5R8', 'Alpha6Beta4Integrin', 'Q9NR12'})"
"frozenset({'Q9BY41', 'Q96A08', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z6G3', 'Alpha6Beta4Integrin', 'A1L4H1'})"
"frozenset({'Alpha6Beta4Integrin', 'P12931', 'Q9UJM3'})"
"frozenset({'Alpha6Beta4Integrin', 'P67870', 'Q16537'})"
"frozenset({'O75643', 'Alpha6Beta4Integrin', 'Q9NRD1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q08043', 'P35221'})"
"frozenset({'Alpha6Beta4Integrin', 'P11171', 'Q9HB71'})"
"frozenset({'Q5T700', 'Q9BVK8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NVA2', 'P13569'})"
"frozenset({'Q8TD31', 'Alpha6Beta4Integrin', 'P40222'})"
"frozenset({'Q9H6T3', 'Alpha6Beta4Integrin', 'O15259'})"
"frozenset({'P53680', 'Alpha6Beta4Integrin', 'O00291'})"
"frozenset({'Q04323', 'Q7Z434', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6UX06', 'Alpha6Beta4Integrin', 'Q9P0J0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q32P28', 'O14974'})"
"frozenset({'Q99683', 'Alpha6Beta4Integrin', 'Q03113'})"
"frozenset({'P07900', 'Alpha6Beta4Integrin', 'Q71U36'})"
"frozenset({'Alpha6Beta4Integrin', 'Q01844', 'Q8IVT5'})"
"frozenset({'Alpha6Beta4Integrin', 'P49821', 'Q8WX93'})"
"frozenset({'P13232', 'Alpha6Beta4Integrin', 'Q99665'})"
"frozenset({'Alpha6Beta4Integrin', 'P56278', 'P31749'})"
"frozenset({'P62879', 'Alpha6Beta4Integrin', 'P08173'})"
"frozenset({'P05109', 'Alpha6Beta4Integrin', 'P63000'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96FW1', 'O43837'})"
"frozenset({'O14727', 'Q01094', 'Alpha6Beta4Integrin'})"
"frozenset({'P14618', 'Alpha6Beta4Integrin', 'P00338'})"
"frozenset({'Q15181', 'Alpha6Beta4Integrin', 'P10809'})"
"frozenset({'A8MQ03', 'Alpha6Beta4Integrin', 'Q8N446'})"
"frozenset({'O15084', 'Alpha6Beta4Integrin', 'Q8TES7'})"
"frozenset({'Q96GM5', 'Q99689', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P000', 'O60826', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P63208', 'Q9NWN3'})"
"frozenset({'O95630', 'Alpha6Beta4Integrin', 'Q9Y3C5'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'O60264'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H6Z9', 'P05771'})"
"frozenset({'Q9NPE3', 'Alpha6Beta4Integrin', 'Q8TAF3'})"
"frozenset({'P55196', 'Alpha6Beta4Integrin', 'Q9NRC8'})"
"frozenset({'O95918', 'Alpha6Beta4Integrin', 'P38405'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'Q5VV41'})"
"frozenset({'Q9BQD3', 'Q96L14', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NWY4', 'Alpha6Beta4Integrin', 'Q16778'})"
"frozenset({'Q9Y5U4', 'Alpha6Beta4Integrin', 'Q8WU17'})"
"frozenset({'P61247', 'Alpha6Beta4Integrin', 'P46783'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16891', 'Q9BV68'})"
"frozenset({'Alpha6Beta4Integrin', 'P18847', 'P19838'})"
"frozenset({'P62913', 'Alpha6Beta4Integrin', 'P29590'})"
"frozenset({'Q96TA2', 'Alpha6Beta4Integrin', 'Q96N21'})"
